Date,Confirmed,Deaths,Recovered,max,min,cloud,rain,Province/State
time,continuous,discrete,discrete,continuous,continuous,,,string
,,,,,,,,meta
1/21/2020 22:00,1,0,0,3,-3,0,0,['Washington']
1/22/2020 22:00,1,0,0,7,0,0,0,['Washington']
1/23/2020 22:00,2,0,0,10,2,0,0,['Washington'] ; ['Chicago']
1/24/2020 22:00,2,0,0,10,3,0,0,['Washington'] ; ['Illinois']
1/25/2020 22:00,5,0,0,7,3,1,0,['Washington'] ; ['Illinois'] ; ['California'] ; ['Arizona']
1/27/2020 22:00,5,0,0,6,2,1,0,['California'] ; ['Arizona'] ; ['Washington'] ; ['Illinois']
1/28/2020 22:00,10,0,0,4,0,1,0,['Washington'] ; ['Illinois'] ; ['California'] ; ['Arizona'] ; ['Washington'] ; ['Illinois'] ; ['California'] ; ['Arizona']
1/29/2020 22:00,5,0,0,2,-3,1,0,['Washington'] ; ['Illinois'] ; ['California'] ; ['Arizona']
1/31/2020 22:00,147,0,0,6,2,1,0,"['Arizona'] ; ['Washington'] ; ['Illinois'] ; ['California'] ; ['Chicago, IL'] ; ['Boston, MA'] ; ['Seattle, WA'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Seattle, WA'] ; ['Boston, MA'] ; ['Chicago, IL'] ; ['Tempe, AZ'] ; ['Seattle, WA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Chicago, IL'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Chicago, IL'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Boston, MA'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Seattle, WA'] ; ['Chicago, IL'] ; ['Tempe, AZ'] ; ['Boston, MA'] ; ['Chicago, IL'] ; ['Tempe, AZ'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Seattle, WA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Seattle, WA'] ; ['Tempe, AZ'] ; ['Santa Clara, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Orange, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Santa Clara, CA'] ; ['Orange, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Orange, CA'] ; ['Orange, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Los Angeles, CA'] ; ['Orange, CA'] ; ['Orange, CA']"
2/2/2020 22:00,108,0,0,13,2,1,0,"['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA'] ; ['San Benito, CA']"
2/4/2020 22:00,27,0,0,12,4,1,0,"['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI']"
2/8/2020 22:00,62,0,2,5,0,1,0,"['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Seattle, WA'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL'] ; ['Chicago, IL']"
2/10/2020 22:00,2,0,0,8,6,1,0,"['San Diego County, CA'] ; ['San Diego County, CA']"
2/12/2020 22:00,42,0,0,6,0,1,0,"['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX'] ; ['San Antonio, TX']"
2/20/2020 22:00,60,0,1,10,-1,0,0,"['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Humboldt County, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA']"
2/21/2020 22:00,38,0,0,13,3,0,0,"['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Ashland, NE'] ; ['Travis, CA'] ; ['Lackland, TX'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)']"
2/22/2020 22:00,22,0,0,16,5,0,0,"['Omaha, NE (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)']"
2/24/2020 22:00,83,0,0,8,7,1,0,"['Omaha, NE (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Travis, CA (From Diamond Princess)'] ; ['Omaha, NE (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Lackland, TX (From Diamond Princess)'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Tempe, AZ'] ; ['Tempe, AZ']"
2/25/2020 22:00,84,0,0,6,0,1,0,['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)']
2/26/2020 22:00,24,0,0,5,-1,1,0,"['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA'] ; ['Sacramento County, CA']"
2/27/2020 22:00,139,0,1,1,-3,1,0,"['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA']"
2/28/2020 22:00,9,0,0,6,-3,0,0,"['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Portland, OR'] ; ['Portland, OR'] ; ['Snohomish County, WA']"
2/29/2020 22:00,21,0,0,13,3,0,0,"['Seattle, WA'] ; ['Chicago, IL'] ; ['Providence, RI'] ; ['Snohomish County, WA'] ; ['Seattle, WA']"
3/1/2020 22:00,440,0,0,15,9,0,0,"['New York City, NY'] ; ['New York City, NY'] ; ['New York City, NY'] ; ['Hillsborough, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Portland, OR'] ; ['Providence, RI'] ; ['Providence, RI'] ; ['Providence, RI'] ; ['Providence, RI'] ; ['Providence, RI'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['King County, WA'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['Santa Clara, CA'] ; ['Cook County, IL'] ; ['Cook County, IL'] ; ['Grafton County, NH'] ; ['Cook County, IL'] ; ['San Mateo, CA'] ; ['Sonoma County, CA'] ; ['Snohomish County, WA'] ; ['Sonoma County, CA'] ; ['Sonoma County, CA'] ; ['Sonoma County, CA'] ; ['Sonoma County, CA'] ; ['Sonoma County, CA'] ; ['Sonoma County, CA']"
3/2/2020 22:00,94,0,0,12,7,0,0,"['Placer County, CA'] ; ['Placer County, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['Washington County, OR'] ; ['Washington County, OR'] ; ['Washington County, OR'] ; ['Washington County, OR'] ; ['Fulton County, GA'] ; ['Fulton County, GA'] ; ['Fulton County, GA'] ; ['Fulton County, GA'] ; ['Norfolk County, MA'] ; ['Norfolk County, MA'] ; ['Norfolk County, MA'] ; ['Westchester County, NY'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Maricopa County, AZ'] ; ['Maricopa County, AZ'] ; ['Maricopa County, AZ'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['King County, WA'] ; ['Snohomish County, WA'] ; ['Wake County, NC'] ; ['Wake County, NC'] ; ['Wake County, NC'] ; ['Wake County, NC'] ; ['Wake County, NC'] ; ['Wake County, NC'] ; ['Wake County, NC']"
3/3/2020 22:00,113,0,0,10,3,0,0,"['Grafton County, NH'] ; ['Santa Clara, CA'] ; ['Grafton County, NH'] ; ['Grafton County, NH'] ; ['Santa Clara, CA'] ; ['Grafton County, NH'] ; ['Grafton County, NH'] ; ['Berkeley, CA'] ; ['Berkeley, CA'] ; ['Berkeley, CA'] ; ['Berkeley, CA'] ; ['Orange County, CA'] ; ['Orange County, CA'] ; ['Orange County, CA'] ; ['Orange County, CA'] ; ['Orange County, CA'] ; ['Contra Costa County, CA'] ; ['Contra Costa County, CA'] ; ['Los Angeles, CA'] ; ['Placer County, CA'] ; ['Placer County, CA'] ; ['King County, WA'] ; ['Snohomish County, WA'] ; ['Westchester County, NY']"
3/4/2020 22:00,99,0,0,7,2,0,0,"['Fort Bend County, TX'] ; ['Fort Bend County, TX'] ; ['Cook County, IL'] ; ['Cook County, IL'] ; ['Santa Rosa County, FL'] ; ['Santa Rosa County, FL'] ; ['Santa Rosa County, FL'] ; ['Grant County, WA'] ; ['Grant County, WA'] ; ['Grant County, WA'] ; ['Snohomish County, WA'] ; ['Grant County, WA'] ; ['San Francisco County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Francisco County, CA'] ; ['Clark County, NV'] ; ['Clark County, NV'] ; ['Clark County, NV'] ; ['Bergen County, NJ'] ; ['Bergen County, NJ'] ; ['New York City, NY'] ; ['Los Angeles, CA'] ; ['Westchester County, NY'] ; ['Queens County, NY'] ; ['Harris County, TX']"
